Folder,Results
sinus-noise-30%,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.46377070707070706, 'AUC-PR': 0.008973099523719797}, {'Algorithm': 'COF', 'AUC-ROC': 0.46053282828282827, 'AUC-PR': 0.008681010599766385}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9958575757575757, 'AUC-PR': 0.5077175151557561}, {'Algorithm': 'KNN', 'AUC-ROC': 0.5306090909090909, 'AUC-PR': 0.009646448347254007}, {'Algorithm': 'LOF', 'AUC-ROC': 0.4700040404040405, 'AUC-PR': 0.008725852806787972}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.3026323232323232, 'AUC-PR': 0.007385577129139436}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9999989898989899, 'AUC-PR': 0.999900495049505}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9999989898989899, 'AUC-PR': 0.999900495049505}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9897020202020202, 'AUC-PR': 0.29678923310280975}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9999989898989899, 'AUC-PR': 0.999900495049505}]"
cbf-channels-single-of-2,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.44921717171717174, 'AUC-PR': 0.008541591613934573}, {'Algorithm': 'COF', 'AUC-ROC': 0.4778838383838384, 'AUC-PR': 0.009145017600929816}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.4543555555555555, 'AUC-PR': 0.008306563031318895}, {'Algorithm': 'KNN', 'AUC-ROC': 0.39224040404040406, 'AUC-PR': 0.007667770784888969}, {'Algorithm': 'LOF', 'AUC-ROC': 0.40274545454545463, 'AUC-PR': 0.007806417983722425}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.2233919191919192, 'AUC-PR': 0.006176735955380117}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.6077232323232323, 'AUC-PR': 0.012138810536536353}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.6077232323232323, 'AUC-PR': 0.012138810536536353}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.697929292929293, 'AUC-PR': 0.014816321443790218}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.6077272727272728, 'AUC-PR': 0.01213888868170529}]"
cbf-channels-single-of-5,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.6151727272727272, 'AUC-PR': 0.011715028409080858}, {'Algorithm': 'COF', 'AUC-ROC': 0.6081626262626263, 'AUC-PR': 0.014120847077596832}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.39688585858585856, 'AUC-PR': 0.007957288900033818}, {'Algorithm': 'KNN', 'AUC-ROC': 0.5527479797979798, 'AUC-PR': 0.010082515532293638}, {'Algorithm': 'LOF', 'AUC-ROC': 0.43718080808080806, 'AUC-PR': 0.01107978998794181}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.5275121212121212, 'AUC-PR': 0.009972909448863782}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.6694272727272728, 'AUC-PR': 0.014412309394826048}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.6694272727272728, 'AUC-PR': 0.014412309394826048}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.916760606060606, 'AUC-PR': 0.058588328755655145}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.6694343434343435, 'AUC-PR': 0.014412511795367709}]"
ecg-type-trend,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.6152161616161617, 'AUC-PR': 0.013623711625348403}, {'Algorithm': 'COF', 'AUC-ROC': 0.6006368686868687, 'AUC-PR': 0.015132151253618286}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.47869696969696973, 'AUC-PR': 0.008996844102585281}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6653156565656566, 'AUC-PR': 0.017607627663452467}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5996176767676767, 'AUC-PR': 0.020323019082893436}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.24794040404040402, 'AUC-PR': 0.0061444533639165065}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9936474747474747, 'AUC-PR': 0.44402736957344763}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9936474747474747, 'AUC-PR': 0.4440273695734477}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9996909090909091, 'AUC-PR': 0.9715084896529141}]"
rw-channels-single-of-10,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.9509323232323232, 'AUC-PR': 0.08811306531431838}, {'Algorithm': 'COF', 'AUC-ROC': 0.47926868686868684, 'AUC-PR': 0.2306531471976545}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9903545454545455, 'AUC-PR': 0.3102890735595022}, {'Algorithm': 'KNN', 'AUC-ROC': 0.5822949494949495, 'AUC-PR': 0.015317672308935113}, {'Algorithm': 'LOF', 'AUC-ROC': 0.6374747474747476, 'AUC-PR': 0.2308182292385924}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.7880919191919192, 'AUC-PR': 0.022214212958387953}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.7031030303030303, 'AUC-PR': 0.17620466695390588}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.7031010101010101, 'AUC-PR': 0.17620463505752468}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9975353535353535, 'AUC-PR': 0.6107684094886906}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.7035070707070707, 'AUC-PR': 0.17613440827159235}]"
ecg-type-platform,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.3912626262626263, 'AUC-PR': 0.007439284289962992}, {'Algorithm': 'COF', 'AUC-ROC': 0.4887045454545455, 'AUC-PR': 0.009347274412195987}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9946262626262626, 'AUC-PR': 0.4312469631913564}, {'Algorithm': 'KNN', 'AUC-ROC': 0.256710101010101, 'AUC-PR': 0.00616613098732086}, {'Algorithm': 'LOF', 'AUC-ROC': 0.45205303030303035, 'AUC-PR': 0.008424442165334984}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.09009090909090908, 'AUC-PR': 0.005271549406031802}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9999717171717172, 'AUC-PR': 0.9972650375105568}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9999717171717172, 'AUC-PR': 0.9972650375105568}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9898323232323232, 'AUC-PR': 0.2986621574332832}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9999717171717172, 'AUC-PR': 0.9972650375105568}]"
ecg-type-extremum,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'COF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'kMeans', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'KNN', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'LOF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'STAMP', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'STOMP', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'VALMOD', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}]"
ecg-noise-10%,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.3311323232323232, 'AUC-PR': 0.006679065534338914}, {'Algorithm': 'COF', 'AUC-ROC': 0.49897272727272723, 'AUC-PR': 0.01056949834015345}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.5568363636363636, 'AUC-PR': 0.010294628692556974}, {'Algorithm': 'KNN', 'AUC-ROC': 0.17965454545454546, 'AUC-PR': 0.005569473702855852}, {'Algorithm': 'LOF', 'AUC-ROC': 0.517329292929293, 'AUC-PR': 0.011023400632463458}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.5773929292929293, 'AUC-PR': 0.011331541306576036}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.8530525252525252, 'AUC-PR': 0.21851503417332058}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.8530525252525252, 'AUC-PR': 0.21851503417332058}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9971424242424243, 'AUC-PR': 0.7418306003165407}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.8538606060606061, 'AUC-PR': 0.21859431920428793}]"
rw-trend-sinus,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.46564141414141413, 'AUC-PR': 0.018587578072433338}, {'Algorithm': 'COF', 'AUC-ROC': 0.4695752525252525, 'AUC-PR': 0.019467358597819805}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9996434343434343, 'AUC-PR': 0.9683022496685149}, {'Algorithm': 'KNN', 'AUC-ROC': 0.496249494949495, 'AUC-PR': 0.019050911136358897}, {'Algorithm': 'LOF', 'AUC-ROC': 0.4701989898989899, 'AUC-PR': 0.01945505179290545}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.8342737373737373, 'AUC-PR': 0.02941537562109081}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9386646464646464, 'AUC-PR': 0.06950322160588916}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9386646464646464, 'AUC-PR': 0.06950322160588916}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9998858585858585, 'AUC-PR': 0.9890703767624636}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9386646464646464, 'AUC-PR': 0.06950322160588916}]"
rw-channels-single-of-5,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.9510878787878788, 'AUC-PR': 0.08932048988597481}, {'Algorithm': 'COF', 'AUC-ROC': 0.6267474747474748, 'AUC-PR': 0.05998418062679241}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.998770707070707, 'AUC-PR': 0.8339113599763629}, {'Algorithm': 'KNN', 'AUC-ROC': 0.47701616161616167, 'AUC-PR': 0.00864948373171752}, {'Algorithm': 'LOF', 'AUC-ROC': 0.6194747474747475, 'AUC-PR': 0.23287292825493694}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9037313131313132, 'AUC-PR': 0.04549000952359275}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.7223070707070707, 'AUC-PR': 0.20659614276354513}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.7223060606060605, 'AUC-PR': 0.20659612458774787}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.995788888888889, 'AUC-PR': 0.5146077754191354}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.7206404040404041, 'AUC-PR': 0.20646881367967831}]"
ecg-trend-quadratic,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.4620414141414141, 'AUC-PR': 0.009621993439563754}, {'Algorithm': 'COF', 'AUC-ROC': 0.45923383838383836, 'AUC-PR': 0.0095096476786476}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.23693232323232324, 'AUC-PR': 0.0065264401511857485}, {'Algorithm': 'KNN', 'AUC-ROC': 0.31045202020202023, 'AUC-PR': 0.007720833644314942}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5134520202020202, 'AUC-PR': 0.010887506216677178}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.5441626262626262, 'AUC-PR': 0.00996819098014795}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9999868686868687, 'AUC-PR': 0.9987374367567812}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9999868686868687, 'AUC-PR': 0.9987374367567812}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9998878787878788, 'AUC-PR': 0.9893003079198796}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9999858585858585, 'AUC-PR': 0.9986399320063062}]"
poly-length-1,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'COF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'kMeans', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'KNN', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'LOF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9950995099509952, 'AUC-PR': 0.01}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.377937793779378, 'AUC-PR': 8.037293039704228e-05}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.377937793779378, 'AUC-PR': 8.037293039704228e-05}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 1.0, 'AUC-PR': 1.0}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.377937793779378, 'AUC-PR': 8.037293039704228e-05}]"
rw-channels-single-of-2,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.9790424242424243, 'AUC-PR': 0.18309770571937622}, {'Algorithm': 'COF', 'AUC-ROC': 0.4568707070707071, 'AUC-PR': 0.010255849394559084}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9992151515151515, 'AUC-PR': 0.9180927945336347}, {'Algorithm': 'KNN', 'AUC-ROC': 0.7285080808080808, 'AUC-PR': 0.01662525454202447}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5913959595959596, 'AUC-PR': 0.03730362801799306}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9185818181818183, 'AUC-PR': 0.13596202659382536}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9188111111111111, 'AUC-PR': 0.154083149748446}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9188111111111111, 'AUC-PR': 0.154083149748446}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.8969474747474747, 'AUC-PR': 0.11765687771307247}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9188111111111111, 'AUC-PR': 0.154083149748446}]"
poly-channels-single-of-5,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.27093636363636364, 'AUC-PR': 0.006195711925468534}, {'Algorithm': 'COF', 'AUC-ROC': 0.4627282828282828, 'AUC-PR': 0.00851276467967928}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9996818181818182, 'AUC-PR': 0.9657042208938063}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6810252525252526, 'AUC-PR': 0.014333865353367848}, {'Algorithm': 'LOF', 'AUC-ROC': 0.4453868686868686, 'AUC-PR': 0.008468564846538107}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.8704666666666667, 'AUC-PR': 0.035380757624888834}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.2897777777777778, 'AUC-PR': 0.006551263743326062}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.2897777777777778, 'AUC-PR': 0.006551263743326062}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.8355252525252526, 'AUC-PR': 0.06770302345645471}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.28862929292929296, 'AUC-PR': 0.0065400138939460915}]"
rw-channels-single-of-20,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.9555444444444445, 'AUC-PR': 0.09416914070626448}, {'Algorithm': 'COF', 'AUC-ROC': 0.535429292929293, 'AUC-PR': 0.010548178976035844}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9656040404040404, 'AUC-PR': 0.13870491534024806}, {'Algorithm': 'KNN', 'AUC-ROC': 0.8251777777777778, 'AUC-PR': 0.03488575465157083}, {'Algorithm': 'LOF', 'AUC-ROC': 0.6364242424242424, 'AUC-PR': 0.20563015463396253}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.6937636363636364, 'AUC-PR': 0.015496555027007756}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.6653030303030304, 'AUC-PR': 0.17453674141169181}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.6653030303030304, 'AUC-PR': 0.17453674141169181}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9998020202020201, 'AUC-PR': 0.9808524895458115}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.6657080808080807, 'AUC-PR': 0.1745275517016425}]"
cbf-diff-count-6,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.4137027555584694, 'AUC-PR': 0.04586043478710767}, {'Algorithm': 'COF', 'AUC-ROC': 0.39632651740418523, 'AUC-PR': 0.04608928319857891}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.5641707426288596, 'AUC-PR': 0.13494674309114577}, {'Algorithm': 'KNN', 'AUC-ROC': 0.42470034139532287, 'AUC-PR': 0.049696407810132064}, {'Algorithm': 'LOF', 'AUC-ROC': 0.4565134390656523, 'AUC-PR': 0.04652006662056044}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.5876595057069774, 'AUC-PR': 0.2413783674558298}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.6035968908587709, 'AUC-PR': 0.18804342950822148}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.4461845862964039, 'AUC-PR': 0.04369271056564479}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.5518477730295804, 'AUC-PR': 0.05419677631713004}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.4461845862964039, 'AUC-PR': 0.04369271056564479}]"
cbf-length-50,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.6288964824120603, 'AUC-PR': 0.06974293947734457}, {'Algorithm': 'COF', 'AUC-ROC': 0.5070984924623114, 'AUC-PR': 0.07304603807877513}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9798954773869346, 'AUC-PR': 0.107238434960964}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6816723618090452, 'AUC-PR': 0.07292902233746944}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5449587939698493, 'AUC-PR': 0.07242873881205053}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.635270351758794, 'AUC-PR': 0.0064411802567348}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.6845587939698492, 'AUC-PR': 0.007506502882017676}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.6845587939698492, 'AUC-PR': 0.007506502882017676}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9939256281407035, 'AUC-PR': 0.5797369212227453}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.684791959798995, 'AUC-PR': 0.007512100076811001}]"
poly-channels-single-of-2,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.4195888888888889, 'AUC-PR': 0.008032918708323058}, {'Algorithm': 'COF', 'AUC-ROC': 0.5810090909090909, 'AUC-PR': 0.019066194488606303}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9996767676767677, 'AUC-PR': 0.9633353977132555}, {'Algorithm': 'KNN', 'AUC-ROC': 0.8157858585858585, 'AUC-PR': 0.02403973557315711}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5260949494949495, 'AUC-PR': 0.015941570294882603}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.7406323232323232, 'AUC-PR': 0.02122310320237069}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.5184555555555556, 'AUC-PR': 0.009859180505919543}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.5184555555555556, 'AUC-PR': 0.009859180505919543}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.999459595959596, 'AUC-PR': 0.9348812137704176}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.5141404040404041, 'AUC-PR': 0.009801570489371834}]"
cbf-diff-count-1,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.3086737373737374, 'AUC-PR': 0.006507672828715429}, {'Algorithm': 'COF', 'AUC-ROC': 0.48773838383838386, 'AUC-PR': 0.009141801386740877}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.5333878787878789, 'AUC-PR': 0.009731719002936547}, {'Algorithm': 'KNN', 'AUC-ROC': 0.2142368686868687, 'AUC-PR': 0.005879423309473277}, {'Algorithm': 'LOF', 'AUC-ROC': 0.47214191919191917, 'AUC-PR': 0.008957280215353882}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.46423131313131316, 'AUC-PR': 0.008757629732796946}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.6617999999999999, 'AUC-PR': 0.013261169665015126}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.6617999999999999, 'AUC-PR': 0.013261169665015126}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.8533535353535353, 'AUC-PR': 0.02994966765321077}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.6618050505050506, 'AUC-PR': 0.013261365593532503}]"
rw-combined-diff-1,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5424783687943262, 'AUC-PR': 0.0926675091589468}, {'Algorithm': 'COF', 'AUC-ROC': 0.3837318262411347, 'AUC-PR': 0.05760950468965011}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9902338652482269, 'AUC-PR': 0.9102766462661843}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6279492021276596, 'AUC-PR': 0.1188283875834989}, {'Algorithm': 'LOF', 'AUC-ROC': 0.4320144503546099, 'AUC-PR': 0.060049973520730486}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.83544804964539, 'AUC-PR': 0.18114962964502196}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9877120567375888, 'AUC-PR': 0.9249740371264299}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9877120567375888, 'AUC-PR': 0.9249740371264299}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9808189716312057, 'AUC-PR': 0.7261290887725197}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9877120567375888, 'AUC-PR': 0.9249740371264301}]"
rw-type-trend,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.6732626262626263, 'AUC-PR': 0.023164830222449938}, {'Algorithm': 'COF', 'AUC-ROC': 0.6307323232323232, 'AUC-PR': 0.01652955759068081}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9826444444444444, 'AUC-PR': 0.20325316871440718}, {'Algorithm': 'KNN', 'AUC-ROC': 0.7239358585858585, 'AUC-PR': 0.035946205874912096}, {'Algorithm': 'LOF', 'AUC-ROC': 0.6319626262626262, 'AUC-PR': 0.02422999609529887}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.8180666666666667, 'AUC-PR': 0.024114654414276415}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.39223535353535355, 'AUC-PR': 0.00802416887662573}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.39223535353535355, 'AUC-PR': 0.00802416887662573}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9916717171717172, 'AUC-PR': 0.3656932019287341}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.3932444444444444, 'AUC-PR': 0.008031464593483743}]"
sinus-type-frequency,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5166888888888889, 'AUC-PR': 0.009902769372996034}, {'Algorithm': 'COF', 'AUC-ROC': 0.5294717171717171, 'AUC-PR': 0.011605873466219566}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.9999939393939394, 'AUC-PR': 0.999406774748851}, {'Algorithm': 'KNN', 'AUC-ROC': 0.5052732323232323, 'AUC-PR': 0.01032772933620792}, {'Algorithm': 'LOF', 'AUC-ROC': 0.509790404040404, 'AUC-PR': 0.00990411117154142}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.9777888888888888, 'AUC-PR': 0.5060870896366487}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9971818181818182, 'AUC-PR': 0.6788552141735249}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9971818181818182, 'AUC-PR': 0.6788552141735249}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9938656565656565, 'AUC-PR': 0.46399505080430725}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.997190909090909, 'AUC-PR': 0.6804875441679122}]"
cbf-length-1000,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.5808527777777778, 'AUC-PR': 0.15036448760942928}, {'Algorithm': 'COF', 'AUC-ROC': 0.5194567777777779, 'AUC-PR': 0.15102250944863002}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.984478, 'AUC-PR': 0.8562708503640537}, {'Algorithm': 'KNN', 'AUC-ROC': 0.6485751666666666, 'AUC-PR': 0.18858085610530467}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5258391111111111, 'AUC-PR': 0.1563045595566154}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.7558750000000001, 'AUC-PR': 0.1778927254962615}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.7968135555555556, 'AUC-PR': 0.2014400953888781}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.7968135555555556, 'AUC-PR': 0.2014400953888781}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9979937777777778, 'AUC-PR': 0.9780930885487156}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.796924, 'AUC-PR': 0.20150556340596154}]"
cbf-same-count-1,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.7895595959595959, 'AUC-PR': 0.03723811863357538}, {'Algorithm': 'COF', 'AUC-ROC': 0.4879611111111111, 'AUC-PR': 0.009575944750140746}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.8182989898989899, 'AUC-PR': 0.028980620499249633}, {'Algorithm': 'KNN', 'AUC-ROC': 0.8736671717171717, 'AUC-PR': 0.04120156631927444}, {'Algorithm': 'LOF', 'AUC-ROC': 0.5880914141414142, 'AUC-PR': 0.012442952783459159}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.5459969696969698, 'AUC-PR': 0.009970221796179377}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.4832252525252525, 'AUC-PR': 0.009073365617160423}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.4832252525252525, 'AUC-PR': 0.009073365617160423}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.6012222222222223, 'AUC-PR': 0.011424102526097015}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.48322727272727267, 'AUC-PR': 0.009073412071323074}]"
ecg-noise-01%,"[{'Algorithm': 'CBLOF', 'AUC-ROC': 0.3420131313131313, 'AUC-PR': 0.006817701454893574}, {'Algorithm': 'COF', 'AUC-ROC': 0.4753924242424242, 'AUC-PR': 0.008616821847051316}, {'Algorithm': 'kMeans', 'AUC-ROC': 0.5200575757575757, 'AUC-PR': 0.009477268529874388}, {'Algorithm': 'KNN', 'AUC-ROC': 0.18357020202020202, 'AUC-PR': 0.005592643697617222}, {'Algorithm': 'LOF', 'AUC-ROC': 0.455150505050505, 'AUC-PR': 0.0082445092028606}, {'Algorithm': 'PS-SVM', 'AUC-ROC': 0.5799737373737374, 'AUC-PR': 0.011408095958174092}, {'Algorithm': 'STAMP', 'AUC-ROC': 0.9816010101010101, 'AUC-PR': 0.2627902242105937}, {'Algorithm': 'STOMP', 'AUC-ROC': 0.9816010101010101, 'AUC-PR': 0.2627902242105937}, {'Algorithm': 'Sub-LOF', 'AUC-ROC': 0.9973545454545454, 'AUC-PR': 0.758783737574335}, {'Algorithm': 'VALMOD', 'AUC-ROC': 0.9821717171717171, 'AUC-PR': 0.26949305236219906}]"
